strain	accession	segment	date	host	country	subtype	virus
00N3340RFX	KU198468	NA	2000-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
01007CI	KX148235	NA	2001-XX-XX	Dog	Cote_dIvoire	NA	Rabies_lyssavirus
01016VNM	KX148254	NA	2001-XX-XX	Dog	Viet_Nam	NA	Rabies_lyssavirus
019N	MF197745	NA	1998-08-XX	Bat	Poland	NA	Rabies_lyssavirus
01N10254RFX	KU198469	NA	2001-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
02003LAO	KX148258	NA	2002-XX-XX	Dog	Laos	NA	Rabies_lyssavirus
02004LAO	KX148256	NA	2002-XX-XX	Dog	Laos	NA	Rabies_lyssavirus
02005LAO	KX148257	NA	2002-XX-XX	Dog	Laos	NA	Rabies_lyssavirus
02006CBG	KX148249	NA	1998-XX-XX	Dog	Cambodia	NA	Rabies_lyssavirus
02046CHI	KX148264	NA	1994-XX-XX	Dog	China	NA	Rabies_lyssavirus
02050CHI	KX148267	NA	1992-XX-XX	Human	China	NA	Rabies_lyssavirus
02052AFG	KX148225	NA	2002-XX-XX	Dog	Afghanistan	NA	Rabies_lyssavirus
02N2980RFX	KU198470	NA	2002-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
03003INDO	KX148266	NA	2003-XX-XX	Dog	Indonesia	NA	Rabies_lyssavirus
04029AFG	KX148227	NA	2004-XX-XX	Dog	Afghanistan	NA	Rabies_lyssavirus
04030PHI	KX148260	NA	2004-XX-XX	Dog	Philippines	NA	Rabies_lyssavirus
04031FRA	KX148195	NA	2004-XX-XX	Dog	Morocco	NA	Rabies_lyssavirus
04033MAD	KX148209	NA	2004-XX-XX	Dog	Madagascar	NA	Rabies_lyssavirus
04034ARS	KX148176	NA	2004-XX-XX	Fox	Saudi_Arabia	NA	Rabies_lyssavirus
04035AFG	KX148226	NA	2002-XX-XX	Dog	Afghanistan	NA	Rabies_lyssavirus
067N	MF197744	NA	2014-XX-XX	Bat	Poland	NA	Rabies_lyssavirus
07V1483RFX	KU198471	NA	2007-XX-XX	Fox	USA	NA	Rabies_lyssavirus
08342FRA	KX148193	NA	2008-XX-XX	Dog	Morocco	NA	Rabies_lyssavirus
08F40	KC171643	NA	2008-04-01	Cattle	South_Korea	NA	Rabies_lyssavirus
09029NEP	KX148245	NA	2009-XX-XX	Buffalo	Nepal	NA	Rabies_lyssavirus
09035FRA	KX148100	NA	2009-XX-XX	Bat	French_Guiana	NA	Rabies_lyssavirus
1060	JQ685908	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
1088	AB645847	NA	XXXX-XX-XX	Rodent	USA	NA	Rabies_lyssavirus
11001NEP	KX148108	NA	2011-XX-XX	Cattle	Nepal	NA	Rabies_lyssavirus
12929	LT909532	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
12951	LT909537	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
12989	LT909538	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
12L1020AFX	KU198472	NA	2012-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
12N0215RFX	KU198473	NA	2012-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
12N0280RFX	KU198474	NA	2012-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
13020	LT909550	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13043	LT909540	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13044	LT909533	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13086	LT909541	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13102	LT909527	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
1311200108POL	MF197741	NA	2008-01-XX	Fox	Poland	NA	Rabies_lyssavirus
13122	LT909529	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13123	LT909535	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13125	LT909542	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13135	LT909546	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13138	LT909548	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13162	LT909526	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13177	LT909531	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13182	LT909539	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13212	LT909544	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13232_NT_F	LT598537	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13249	LT909543	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13251	LT909530	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13284	LT909547	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13465	LT909534	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13471	LT909536	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13473	LT909551	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
1350KRA	JQ944705	NA	2008-XX-XX	Dog	Russia	NA	Rabies_lyssavirus
1352KRA	JQ944706	NA	2008-XX-XX	Dog	Russia	NA	Rabies_lyssavirus
1359120810POL	MF197743	NA	2010-08-XX	Fox	Poland	NA	Rabies_lyssavirus
13L0040AFX	KU198475	NA	2013-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
13L0094AFX	KU198476	NA	2013-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
13N0473AFX	KU198477	NA	2013-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
13NO643AFX	KU198478	NA	2013-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
14015ITA	KX148207	NA	2014-XX-XX	Human	Kenya	NA	Rabies_lyssavirus
14016BOT	KX148218	NA	2009-XX-XX	Wild_Cat	Botswana	NA	Rabies_lyssavirus
14017BOT	KX148219	NA	2009-XX-XX	Badger	Botswana	NA	Rabies_lyssavirus
14018AFS	KX148223	NA	2000-XX-XX	Cat	South_Africa	NA	Rabies_lyssavirus
1410KOM	JQ944707	NA	2008-XX-XX	Deer	Russia	NA	Rabies_lyssavirus
148/lib01041	LN879481	NA	1998-XX-XX	Fox	Germany	NA	Rabies_lyssavirus
14N0601RFX	KU198479	NA	2014-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
15001AFS	KX148220	NA	2013-XX-XX	Mongoose	South_Africa	NA	Rabies_lyssavirus
15002AFS	KX148222	NA	2014-XX-XX	Mongoose	South_Africa	NA	Rabies_lyssavirus
15003AFS	KX148221	NA	2014-XX-XX	Squirrel	South_Africa	NA	Rabies_lyssavirus
15006FRA	KX148197	NA	2015-XX-XX	Dog	Algeria	NA	Rabies_lyssavirus
1564NNO	JQ944708	NA	2008-XX-XX	Fox	Russia	NA	Rabies_lyssavirus
178J09	JX473838	NA	2009-XX-XX	Jackal	Namibia	NA	Rabies_lyssavirus
184VNO	JQ944704	NA	2009-XX-XX	Raccoon	Russia	NA	Rabies_lyssavirus
192J09	JX473839	NA	2009-XX-XX	Jackal	Namibia	NA	Rabies_lyssavirus
20034	KT336433	NA	1991-XX-XX	Dog	Zimbabwe	NA	Rabies_lyssavirus
20282	LT909545	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
2041MxYucgod15	KX708499	NA	2015-XX-XX	Dog	Mexico	NA	Rabies_lyssavirus
20520	LT909528	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
2069200108POL	MF197742	NA	2014-08-XX	Fox	Poland	NA	Rabies_lyssavirus
21057	KT336434	NA	1992-XX-XX	Dog	Zimbabwe	NA	Rabies_lyssavirus
21467	KT336435	NA	1993-XX-XX	Dog	Zimbabwe	NA	Rabies_lyssavirus
2187MxYucdog13	KX708501	NA	2013-XX-XX	Dog	Mexico	NA	Rabies_lyssavirus
2395	JQ685972	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
2396	JQ685937	NA	2009-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
2398	JQ685892	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
2399	JQ685939	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
239K09	JX473840	NA	2009-XX-XX	Antelope	Namibia	NA	Rabies_lyssavirus
2400	JQ685912	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
2401	JQ685934	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
2402	JQ685896	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
2403	JQ685928	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
240K09	JX473841	NA	2009-XX-XX	Antelope	Namibia	NA	Rabies_lyssavirus
2526	JQ685976	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
2835MxChisdog14	KX708503	NA	2014-XX-XX	Dog	Mexico	NA	Rabies_lyssavirus
3106MxYucdog14	KX708500	NA	2014-XX-XX	Dog	Mexico	NA	Rabies_lyssavirus
33512	KT336436	NA	2012-XX-XX	Dog	South_Africa	NA	Rabies_lyssavirus
34312	KT336437	NA	2012-XX-XX	Dog	South_Africa	NA	Rabies_lyssavirus
34873	LT909549	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
35009	LT839616	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
3634DR	JQ685936	NA	2009-XX-XX	Cattle	Mexico	NA	Rabies_lyssavirus
3645DR	JQ685953	NA	2009-XX-XX	Human	Mexico	NA	Rabies_lyssavirus
4aGV	JN234411	NA	1931-XX-XX	Dog	China	1	Rabies_lyssavirus
