Map from character to field name
A:	?
B:	africa
C:	china
D:	europe
E:	japan_korea
F:	north_america
G:	south_america
H:	south_asia
I:	southeast_asia
J:	west_asia
K:	?


Substitution rate (mu): 4.2314

Equilibrium frequencies (pi_i):
  A: 0.0921
  B: 0.0846
  C: 0.0976
  D: 0.0866
  E: 0.0877
  F: 0.2291
  G: 0.0541
  H: 0.0951
  I: 0.0882
  J: 0.0849

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.7894	0.8226	0.833	0.8441	0.7444	0.8217	0.8365	0.8406	0.8317
  B	0.7894	0	1.1508	0.7817	0.79	1.9446	0.791	0.7797	0.7869	1.1724
  C	0.8226	1.1508	0	0.8105	1.232	1.0428	0.807	0.8119	1.6354	1.2143
  D	0.833	0.7817	0.8105	0	0.8315	1.0859	0.8156	1.2352	0.8282	2.4615
  E	0.8441	0.79	1.232	0.8315	0	1.1161	0.8216	0.8346	0.8386	0.8303
  F	0.7444	1.9446	1.0428	1.0859	1.1161	0	3.2967	1.4454	0.7368	1.8077
  G	0.8217	0.791	0.807	0.8156	0.8216	3.2967	0	0.8154	0.8195	0.8153
  H	0.8365	0.7797	0.8119	1.2352	0.8346	1.4454	0.8154	0	0.831	1.6447
  I	0.8406	0.7869	1.6354	0.8282	0.8386	0.7368	0.8195	0.831	0	0.827
  J	0.8317	1.1724	1.2143	2.4615	0.8303	1.8077	0.8153	1.6447	0.827	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0727	0.0758	0.0767	0.0777	0.0686	0.0757	0.077	0.0774	0.0766
  B	0.0668	0	0.0973	0.0661	0.0668	0.1645	0.0669	0.066	0.0666	0.0992
  C	0.0803	0.1123	0	0.0791	0.1203	0.1018	0.0788	0.0793	0.1597	0.1186
  D	0.0722	0.0677	0.0702	0	0.072	0.0941	0.0707	0.107	0.0717	0.2132
  E	0.0741	0.0693	0.1081	0.0729	0	0.0979	0.0721	0.0732	0.0736	0.0728
  F	0.1705	0.4454	0.2389	0.2488	0.2557	0	0.7552	0.3311	0.1688	0.4141
  G	0.0444	0.0428	0.0436	0.0441	0.0444	0.1783	0	0.0441	0.0443	0.0441
  H	0.0795	0.0741	0.0772	0.1175	0.0794	0.1374	0.0775	0	0.079	0.1564
  I	0.0741	0.0694	0.1442	0.073	0.0739	0.065	0.0723	0.0733	0	0.0729
  J	0.0706	0.0996	0.1031	0.209	0.0705	0.1535	0.0692	0.1397	0.0702	0
