strain	virus	accession	date	region	country	division	location	host	source	locus	authors	url	title	journal	puburl
00N3420	rabies	EF178189	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
00N3420CAN	rabies	JN258494	2000-XX-XX	north_america	canada	canada	canada	dog	genbank	genome	?	?	?	?	?
00N4337	rabies	EF178190	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
00N4820	rabies	EF178191	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
00NAZAREPTA1292B	rabies	FJ649120	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00NAZAREPTA3299B	rabies	FJ649021	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00PEDRABELA1559B	rabies	FJ649122	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00PEDRABELA312B	rabies	FJ649111	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00PEDRABELA5285B	rabies	FJ649025	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00PEDRABELA5475B	rabies	FJ649148	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00PINHALZINHO3141B	rabies	FJ649020	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00PINHALZINHO5151B	rabies	FJ649143	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00PIRACAIA776B	rabies	FJ649114	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00SK1509BB	rabies	GU207716	2000-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
00SK1800BB	rabies	GU207689	2000-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
00SK1869BB	rabies	GU207684	2000-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
00SK1966BB	rabies	GU207713	2000-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
00SK2097BB	rabies	GU207701	2000-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
00SK2266BB	rabies	GU207705	2000-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
00SOCORRO1040B	rabies	FJ649118	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00SOCORRO4553B	rabies	FJ649138	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00SSEBASTIAODAGRAMA232B	rabies	FJ649110	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00STAIZABEL1333E	rabies	FJ649182	?	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
00TAPIRATIBA6195B	rabies	FJ649151	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00TUIUTI1283B	rabies	FJ649119	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00V882GRN	rabies	JN258512	2000-XX-XX	?	greenland	?	?	fox	genbank	genome	?	?	?	?	?
00V883GRN	rabies	JN258513	2000-XX-XX	?	greenland	?	?	fox	genbank	genome	?	?	?	?	?
00VARGEM1948E	rabies	FJ649183	?	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
00VARGEM4631B	rabies	FJ649024	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00VARGEM555E	rabies	FJ649041	?	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
00VARGEM655E	rabies	FJ649181	?	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
00VARGEM788B	rabies	FJ649015	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01/IRV/NCDC	rabies	MF375722	2016-XX-XX	south_asia	india	india	india	deer	genbank	genome	?	?	?	?	?
01007CI	rabies	KX148235	2001-XX-XX	africa	cote_d_ivoire	cote_d_ivoire	cote_d_ivoire	dog	genbank	genome	?	?	?	?	?
01016VNM	rabies	EU086159	2001-XX-XX	southeast_asia	vietnam	vietnam	vietnam	dog	genbank	genome	?	?	?	?	?
01017VNM	rabies	EU086160	2001-XX-XX	southeast_asia	vietnam	vietnam	vietnam	dog	genbank	genome	?	?	?	?	?
0149@2000Apurimac	rabies	KU938665	2000-XX-XX	south_america	peru	peru	peru	animal	genbank	genome	?	?	?	?	?
0154_03	rabies	GQ915406	2003-XX-XX	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
016@2010Apurimac	rabies	KU938666	2010-XX-XX	south_america	peru	peru	peru	animal	genbank	genome	?	?	?	?	?
0185@2001Ayacucho	rabies	KU938488	?	south_america	peru	peru	peru	animal	genbank	genome	?	?	?	?	?
019N	rabies	MF197745	1998-08-XX	europe	poland	poland	poland	bat	genbank	genome	?	?	?	?	?
01AMPARO1064B	rabies	FJ649034	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01ATIBAIA7590B	rabies	FJ649171	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01CACONDE159B	rabies	FJ649159	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01CAMPINAS142B	rabies	FJ649158	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01CAMPINAS1501B	rabies	FJ649035	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01ESPSTOPINHAL7518B	rabies	FJ649036	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01ESTOPINHAL7518B	rabies	FJ649170	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01IBIRACI1195B	rabies	FJ649163	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01ITAPIRA40B	rabies	FJ649031	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01ITATIBA1422E	rabies	FJ649185	?	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
01ITATIBA4693E	rabies	FJ649186	?	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
01ITATIBA7343B	rabies	FJ649169	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01JARINU1500B	rabies	FJ649166	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01LAT	rabies	AY277570	?	europe	latvia	latvia	latvia	unknown	genbank	genome	?	?	?	?	?
01MOCOCA7792B	rabies	FJ649037	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01MONTESIAO1433B	rabies	FJ649165	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01MORUNGABA272B	rabies	FJ649160	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01N10254RFX	rabies	KU198469	2001-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
01N12568CAN	rabies	JN258479	2001-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
01N1650	rabies	EF178192	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
01N1650CAN	rabies	JN258495	2001-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
01N3447CAN	rabies	JN258496	2001-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
01ON0308BB	rabies	GU207807	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON10071BB	rabies	GU207748	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON10166BB	rabies	GU207784	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON10259BB	rabies	GU207754	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON10316BB	rabies	GU207723	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON10408BB	rabies	GU207794	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON10952BB	rabies	GU207771	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON11845BB	rabies	GU207733	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON1402BB	rabies	GU207813	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON4119BB	rabies	GU207774	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON4120BB	rabies	GU207788	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON5594BB	rabies	GU207760	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON5669BB	rabies	GU207644	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON6144BB	rabies	GU207775	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON6900BB	rabies	GU207776	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON6959BB	rabies	GU207797	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON7428BB	rabies	GU207724	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON8035BB	rabies	GU207786	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON8041BB	rabies	GU207802	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON8124BB	rabies	GU207769	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON8184BB	rabies	GU207816	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON8440BB	rabies	GU207659	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON8445BB	rabies	GU207734	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON8446BB	rabies	GU207814	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON8639BB	rabies	GU207821	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON8905BB	rabies	GU207658	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01ON9403BB	rabies	GU207785	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01PEDRABELA1395B	rabies	FJ649164	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01QC7843BB	rabies	GU207638	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01QC9612BB	rabies	GU207639	2001-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
01SSEBASTIAODAGRAMA910B	rabies	FJ649161	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01V884GRN	rabies	JN258514	2001-XX-XX	?	greenland	?	?	fox	genbank	genome	?	?	?	?	?
01V886GRN	rabies	JN258515	2001-XX-XX	?	greenland	?	?	fox	genbank	genome	?	?	?	?	?
01V887GRN	rabies	JN258516	2001-XX-XX	?	greenland	?	?	fox	genbank	genome	?	?	?	?	?
01V888GRN	rabies	JN258517	2001-XX-XX	?	greenland	?	?	fox	genbank	genome	?	?	?	?	?
01V891GRN	rabies	JN258518	2001-XX-XX	?	greenland	?	?	unknown	genbank	genome	?	?	?	?	?
01V893GRN	rabies	JN258519	2001-XX-XX	?	greenland	?	?	fox	genbank	genome	?	?	?	?	?
01VALINHOS5458B	rabies	FJ649168	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
01_08_zambia_cattle_2008	rabies	AB572962	2008-01-02	africa	zambia	zambia	zambia	cattle	genbank	genome	?	?	?	?	?
02/IRV/NCDC	rabies	MF375723	2016-XX-XX	south_asia	india	india	india	deer	genbank	genome	?	?	?	?	?
02001LAO	rabies	EU086194	2002-XX-XX	southeast_asia	laos	laos	laos	dog	genbank	genome	?	?	?	?	?
02002LAO	rabies	EU086195	2002-XX-XX	southeast_asia	laos	laos	laos	dog	genbank	genome	?	?	?	?	?
02003LAO	rabies	KX148258	2002-XX-XX	southeast_asia	laos	laos	laos	dog	genbank	genome	?	?	?	?	?
02004LAO	rabies	KU055499	2002-XX-XX	southeast_asia	laos	laos	laos	dog	genbank	genome	?	?	?	?	?
02005LAO	rabies	EU086213	2002-XX-XX	southeast_asia	laos	laos	laos	dog	genbank	genome	?	?	?	?	?
02006CBG	rabies	EU086172	1998-XX-XX	southeast_asia	cambodia	cambodia	cambodia	dog	genbank	genome	?	?	?	?	?
02008USA	rabies	AY854669	?	north_america	usa	usa	usa	unknown	genbank	genome	?	?	?	?	?
02025SEN	rabies	EU853644	2001-XX-XX	africa	senegal	senegal	senegal	human	genbank	genome	?	?	?	?	?
02030SEN	rabies	KU055502	2002-XX-XX	africa	senegal	senegal	senegal	dog	genbank	genome	?	?	?	?	?
02035CHI	rabies	EU086174	1997-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
02036CHI	rabies	EU086137	1997-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
02037CHI	rabies	EU086175	1997-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
02039CHI	rabies	EU086138	1992-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
02040CHI	rabies	EU086176	1992-XX-XX	china	china	china	china	human	genbank	genome	?	?	?	?	?
02041CHI	rabies	EU086140	1987-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
02042CHI	rabies	EU086178	1969-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
02043CHI	rabies	EU086179	1989-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
02044CHI	rabies	EU086142	1989-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
02045CHI	rabies	EU086143	1989-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
02046CHI	rabies	EU086144	1994-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
02047CHI	rabies	EU086183	1994-XX-XX	china	china	china	china	dog	genbank	genome	?	?	?	?	?
02049CHI	rabies	EU086184	1993-XX-XX	china	china	china	china	deer	genbank	genome	?	?	?	?	?
02050CHI	rabies	EU086185	1992-XX-XX	china	china	china	china	human	genbank	genome	?	?	?	?	?
02052AFG	rabies	EU086212	2002-XX-XX	west_asia	afghanistan	afghanistan	afghanistan	dog	genbank	genome	?	?	?	?	?
0255@1998Apurimac	rabies	KU938667	1998-XX-XX	south_america	peru	peru	peru	animal	genbank	genome	?	?	?	?	?
0257_04	rabies	GQ915411	2004-XX-XX	south_america	brazil	brazil	brazil	sheep	genbank	genome	?	?	?	?	?
0260@2001Ayacucho	rabies	KU938490	2001-XX-XX	south_america	peru	peru	peru	animal	genbank	genome	?	?	?	?	?
0289@2010Apurimac	rabies	KU938491	2010-XX-XX	south_america	peru	peru	peru	animal	genbank	genome	?	?	?	?	?
02BC0393BB	rabies	GU207662	2002-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
02BC0586BB	rabies	GU207623	2002-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
02BC0681BB	rabies	GU207706	2002-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
02BC0827BB	rabies	GU207669	2002-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
02BC0926BB	rabies	GU207672	2002-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
02L0035CAN	rabies	JN258451	2002-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
02LAT	rabies	AY277571	?	europe	latvia	latvia	latvia	unknown	genbank	genome	?	?	?	?	?
02N0897CAN	rabies	JN258444	2002-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
02N2258	rabies	EF178193	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
02N2909	rabies	EF178151	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
02N2909CAN	rabies	JN258487	2002-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
02N2980	rabies	EF178195	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
02N2980RFX	rabies	KU198470	2002-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
02N3548	rabies	EF178152	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
02N3548CAN	rabies	JN258488	2002-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
02N9337	rabies	EF178153	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
02N9406	rabies	EF178154	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
02ON6685BB	rabies	GU207746	2002-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
02V895GRN	rabies	JN258520	2002-XX-XX	?	greenland	?	?	fox	genbank	genome	?	?	?	?	?
02V897GRN	rabies	JN258521	2002-XX-XX	?	greenland	?	?	fox	genbank	genome	?	?	?	?	?
02V898GRN	rabies	JN258522	2002-XX-XX	?	greenland	?	?	fox	genbank	genome	?	?	?	?	?
02V899GRN	rabies	JN258523	2002-XX-XX	?	greenland	?	?	fox	genbank	genome	?	?	?	?	?
02_08_zambia_cattle_2008	rabies	AB572928	2008-01-02	africa	zambia	zambia	zambia	cattle	genbank	genome	?	?	?	?	?
03/03	rabies	EU163310	?	?	na	?	?	unknown	genbank	genome	?	?	?	?	?
03/IRV/NCDC	rabies	MF474265	2016-XX-XX	south_asia	india	india	india	deer	genbank	genome	?	?	?	?	?
03001FRA	rabies	KT276358	2003-XX-XX	south_america	french_guiana	french_guiana	french_guiana	dog	genbank	genome	?	?	?	?	?
03003INDO	rabies	EU086151	2003-XX-XX	southeast_asia	indonesia	indonesia	indonesia	dog	genbank	genome	?	?	?	?	?
03006PHI	rabies	EU086203	2000-XX-XX	southeast_asia	philippines	philippines	philippines	human	genbank	genome	?	?	?	?	?
03007PHI	rabies	EU086204	2001-XX-XX	southeast_asia	philippines	philippines	philippines	human	genbank	genome	?	?	?	?	?
03009MAR	rabies	KU055515	2003-XX-XX	africa	morocco	morocco	morocco	dog	genbank	genome	?	?	?	?	?
030_07	rabies	JQ071943	2007-XX-XX	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
0319_02	rabies	GQ915415	2002-XX-XX	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
0333@2001Ayacucho	rabies	KU938492	2001-XX-XX	south_america	peru	peru	peru	animal	genbank	genome	?	?	?	?	?
0337_06	rabies	GQ915416	2006-XX-XX	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
034_10	rabies	JQ071944	2010-XX-XX	south_america	brazil	brazil	brazil	bat	genbank	genome	?	?	?	?	?
0358_06	rabies	GQ915417	2006-XX-XX	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
0399_06	rabies	JQ071971	2006-XX-XX	south_america	brazil	brazil	brazil	bat	genbank	genome	?	?	?	?	?
03BC0468BB	rabies	GU207663	2003-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
03BC0505BB	rabies	GU207635	2003-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
