strain	virus	accession	date	region	country	division	location	host	source	locus	authors	url	title	journal	puburl
0025@2001Apurimac	rabies	KU938481	2001-XX-XX	south_america	peru	peru	peru	animal	genbank	genome	?	?	?	?	?
002_03	rabies	GQ915402	2003-XX-XX	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
003/2009	rabies	KP976117	2009-XX-XX	africa	mali	mali	mali	dog	genbank	genome	?	?	?	?	?
0038@2001Apurimac	rabies	KU938661	2001-XX-XX	south_america	peru	peru	peru	animal	genbank	genome	?	?	?	?	?
003_08	rabies	JQ071942	2008-XX-XX	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
004_04	rabies	GQ915433	2004-XX-XX	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
0059@2000Apurimac	rabies	KU938483	2000-XX-XX	south_america	peru	peru	peru	animal	genbank	genome	?	?	?	?	?
0066@2001Ayacucho	rabies	KU938484	2001-XX-XX	south_america	peru	peru	peru	animal	genbank	genome	?	?	?	?	?
007_12_RS	rabies	KX090635	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
0085@2001Ayacucho	rabies	KU938664	2001-XX-XX	south_america	peru	peru	peru	animal	genbank	genome	?	?	?	?	?
00AB1762BB	rabies	GU207614	2000-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
00AMPARO2626B	rabies	FJ649127	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00ARUJA2821E	rabies	FJ649184	?	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
00ARUJA4597B	rabies	FJ649139	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00ATIBAIA1958B	rabies	FJ649124	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00ATIBAIA2824B	rabies	FJ649130	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00ATIBAIA568B	rabies	FJ649112	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00ATIBAIA81B	rabies	FJ649105	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BC0835BB	rabies	GU207828	2000-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
00BC1397BB	rabies	GU207673	2000-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
00BC1594BB	rabies	GU207675	2000-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
00BC1756BB	rabies	GU207664	2000-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
00BC1836BB	rabies	GU207666	2000-XX-XX	north_america	canada	canada	canada	bat	genbank	genome	?	?	?	?	?
00BJPERDOES1947B	rabies	FJ649018	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BJPERDOES1959B	rabies	FJ649125	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BRAGANCAPTA150B	rabies	FJ649106	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BRAGANCAPTA153B	rabies	FJ649009	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BRAGANCAPTA196B	rabies	FJ649109	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BRAGANCAPTA2685B	rabies	FJ649019	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BRAGANCAPTA2731B	rabies	FJ649129	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BRAGANCAPTA4545B	rabies	FJ649137	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BRAGANCAPTA5347B	rabies	FJ649026	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BRAGANCAPTA5402B	rabies	FJ649027	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BRAGANCAPTA6866B	rabies	FJ649153	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BRAGANCAPTA6867B	rabies	FJ649028	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BUENOBRANDAO1471B	rabies	FJ649017	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BUENOBRANDAO178B	rabies	FJ649108	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BUENOBRANDAO5572B	rabies	FJ649149	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00BUENOBRANDAO889B	rabies	FJ649117	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00CACONDE5301B	rabies	FJ649145	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00CACONDE7016B	rabies	FJ649155	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00CACONDE7018B	rabies	FJ649030	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00CACONDE778B	rabies	FJ649014	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00ITATIBA6261B	rabies	FJ649152	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00JARINU2983B	rabies	FJ649132	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00L0160	rabies	JQ513557	2000-XX-XX	north_america	canada	canada	canada	skunk	genbank	genome	?	?	?	?	?
00L0408	rabies	EF178185	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
00L0408CAN	rabies	JN258497	2000-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
00L0416	rabies	JQ513558	2000-XX-XX	north_america	canada	canada	canada	skunk	genbank	genome	?	?	?	?	?
00L0417	rabies	EF178186	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
00L0417CAN	rabies	JN258490	2000-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
00L0481	rabies	JQ513559	2000-XX-XX	north_america	canada	canada	canada	skunk	genbank	genome	?	?	?	?	?
00L0504	rabies	JQ513560	2000-XX-XX	north_america	canada	canada	canada	skunk	genbank	genome	?	?	?	?	?
00L0528	rabies	EF178187	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
00L0528CAN	rabies	JN258491	2000-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
00LINDOIA2617B	rabies	FJ649126	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00LINDOIA2885B	rabies	FJ649131	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00LINDOIA4998B	rabies	FJ649142	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00MONTEALEGREDOSUL2986B	rabies	FJ649133	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00MONTESIAO210E	rabies	FJ649040	?	south_america	brazil	brazil	brazil	horse	genbank	genome	?	?	?	?	?
00MONTESIAO4812B	rabies	FJ649141	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00MONTESIAO756B	rabies	FJ649012	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00MORUNGABA3251B	rabies	FJ649135	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00MORUNGABA6093B	rabies	FJ649150	?	south_america	brazil	brazil	brazil	cattle	genbank	genome	?	?	?	?	?
00N1512	rabies	EF178188	?	?	na	?	?	fox	genbank	genome	?	?	?	?	?
00N1512CAN	rabies	JN258492	2000-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
00N2483CAN	rabies	JN258493	2000-XX-XX	north_america	canada	canada	canada	dog	genbank	genome	?	?	?	?	?
00N3340RFX	rabies	KU198468	2000-XX-XX	north_america	canada	canada	canada	fox	genbank	genome	?	?	?	?	?
